1	2	0.715854	1.183639
1	3	0.009005	-0.671004
1	5	-1.881405	1.191594
1	8	-3.070476	-1.125093
2	1	3.134373	0.321491
2	2	0.673349	0.139147
2	3	-0.032807	-1.816609
2	5	-1.942688	0.200527
2	8	-3.139646	-2.19323
3	1	3.124629	-0.755257
3	2	0.635993	-0.963891
3	4	-0.150749	-0.978704
3	5	-2.017713	-0.846138
4	1	3.11693	-1.79309
4	2	0.600084	-2.028203
4	4	-0.198086	-2.038073
4	5	-2.086124	-1.850115
4	11	-0.439103	2.273618
4	13	-2.816577	1.844103
5	10	-3.083597	1.906684
5	11	-0.493162	1.390215
5	12	2.055405	1.709122
5	13	-2.894942	0.947857
6	11	-0.543144	0.350189
6	12	2.021874	0.68407
6	13	-2.972367	-0.10645
7	9	2.08933	0.965102
7	10	0.579635	-1.55538
7	11	-2.037664	-1.000413
7	13	0.367947	-0.564522
8	4	-2.463017	2.324049
8	5	-0.523765	2.079137
8	11	-2.096677	-2.019434
8	13	0.328969	-1.574428
9	4	-2.528384	1.109522
9	5	-0.574723	0.924033
10	3	-2.75439	2.196586
10	4	-2.587388	0.292116
10	5	-0.612725	0.150293
10	6	1.380671	0.774494
11	3	-2.828143	1.134054
11	5	-0.667682	-0.83071
11	6	1.34725	-0.190011
11	8	0.392962	1.466936
12	3	-2.929475	-0.04104
12	5	-0.734839	-1.909186
12	6	1.302761	-1.240296
12	8	0.330858	0.40173
13	6	1.136128	1.288639
13	7	-1.232267	-0.50796
13	8	2.243259	-0.313226
14	6	1.118843	0.331236
14	7	-1.267688	-1.528728
14	8	2.240473	-1.326643
15	5	3.118215	0.059389
15	6	1.109461	-0.642967
15	9	0.340303	1.993431
16	5	3.125771	-0.931098
16	6	1.099181	-1.64911
16	9	0.316218	1.066229
17	5	3.142	-1.934535
17	9	0.299373	0.134283
17	13	1.983053	1.716569
18	9	0.289802	-0.819344
18	10	1.735268	1.734442
18	13	1.985572	0.785183
